%time,field.header.seq,field.header.stamp,field.header.frame_id,field.q0,field.q1,field.q2,field.q3,field.q4,field.q5,field.q6,field.controller
1604880047419504857,1,0,,0.246729522943,0.746317744255,-0.0375826619565,0.239295884967,0.779743790627,-0.0580612309277,-5.12585302204e-06,
1604880047441635997,2,0,,0.254289001226,0.716166615486,0.0165936760604,0.243143051863,0.768258869648,-0.0419791936874,-5.02264674651e-06,
1604880047522780241,3,0,,0.281844615936,0.55814999342,-0.000765567005146,0.26613920927,0.710589706898,-0.0564805753529,-3.08281887555e-05,
1604880047623552866,4,0,,0.155588939786,0.538676738739,0.0102640539408,0.237790033221,0.750361382961,-0.0446515642107,-2.50538923865e-05,
1604880047725075708,5,0,,0.126079916954,0.470672875643,-0.00940636079758,0.249764919281,0.750472545624,-0.0502525754273,-1.13107653306e-05,
1604880047824247031,6,0,,0.148418024182,0.44032305479,-0.00777536723763,0.238264799118,0.779289126396,-0.0428362078965,-2.46686395258e-05,
1604880047925189155,7,0,,0.192512184381,0.494014203548,0.0164467971772,0.216570466757,0.770206511021,-0.0487975254655,-3.07161872115e-06,
1604880048025261113,8,0,,0.263177871704,0.485590994358,0.0145292524248,0.186879619956,0.768608152866,-0.0528501830995,-1.02736721601e-05,
1604880048126299788,9,0,,0.293229699135,0.489586383104,0.0268372688442,0.169855490327,0.769827127457,-0.0573956482112,-4.80534872622e-05,
1604880048226164857,10,0,,0.282564103603,0.457396060228,0.0281147863716,0.168069928885,0.796225011349,-0.0567717403173,-7.44344697523e-06,
1604880048328310546,11,0,,0.26178252697,0.385135412216,0.0189580973238,0.174007922411,0.826598584652,-0.0576899014413,2.771727452e-07,
1604880048422819689,12,0,,0.2264906317,0.329700022936,0.0159977078438,0.167240217328,0.853798210621,-0.0569922700524,-6.73914064464e-06,
1604880048522033462,13,0,,0.223362609744,0.298987060785,0.0153579292819,0.140578001738,0.864281892776,-0.0621453262866,-1.15476932478e-05,
1604880048625175586,14,0,,0.249321132898,0.292863249779,0.0195082984865,0.100195787847,0.856887221336,-0.071892991662,-1.80290717253e-05,
1604880048726355460,15,0,,0.279352128506,0.302198082209,0.0298876967281,0.0662387832999,0.862958490849,-0.0797036290169,-2.96823236567e-05,
1604880048825769902,16,0,,0.298835396767,0.308548688889,0.0410722121596,0.0502187274396,0.88061439991,-0.0863273739815,-1.91686854123e-06,
1604880048924229527,17,0,,0.298863381147,0.300202459097,0.0453217849135,0.0476858019829,0.920564115047,-0.0830893665552,-2.5047793315e-05,
1604880049021132320,18,0,,0.282681316137,0.28037661314,0.0495975017548,0.0474102906883,0.960396111012,-0.0824456736445,-3.13741884383e-06,
1604880049122170384,19,0,,0.264409929514,0.260899931192,0.0553283691406,0.0356377400458,0.993316233158,-0.0839223638177,-4.82067967766e-08,
1604880049220401451,20,0,,0.253697603941,0.249903604388,0.0625066235662,0.0066141099669,1.01001775265,-0.0877932235599,-1.24949920064e-05,
1604880049320588168,21,0,,0.257407665253,0.252777695656,0.0748137608171,-0.0285002123564,1.02127587795,-0.0946737676859,1.85803884278e-07,
1604880049425294316,22,0,,0.268665701151,0.264329999685,0.0892548859119,-0.0591386891901,1.03312957287,-0.101113788784,-5.66359722143e-06,
